Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
37,-0.072900000000000006,14.5113,0.12168,10,11,11.6,11.9,12.4,12.800000000000001,13.4,14.5,15.800000000000001,16.5,17,17.800000000000001,18.300000000000001,19.300000000000001,21.199999999999999
38,-0.076899999999999996,14.6791,0.1222,10.1,11.1,11.699999999999999,12,12.6,12.9,13.5,14.699999999999999,15.9,16.699999999999999,17.199999999999999,18,18.5,19.600000000000001,21.5
39,-0.080799999999999997,14.8466,0.12271,10.199999999999999,11.199999999999999,11.800000000000001,12.199999999999999,12.699999999999999,13.1,13.699999999999999,14.800000000000001,16.100000000000001,16.899999999999999,17.399999999999999,18.199999999999999,18.699999999999999,19.800000000000001,21.800000000000001
40,-0.084599999999999995,15.013999999999999,0.12322,10.300000000000001,11.300000000000001,11.9,12.300000000000001,12.800000000000001,13.199999999999999,13.800000000000001,15,16.300000000000001,17.100000000000001,17.600000000000001,18.399999999999999,19,20.100000000000001,22.100000000000001
41,-0.088300000000000003,15.1813,0.12373000000000001,10.4,11.4,12.1,12.4,13,13.4,14,15.199999999999999,16.5,17.300000000000001,17.800000000000001,18.600000000000001,19.199999999999999,20.300000000000001,22.399999999999999
42,-0.091999999999999998,15.348599999999999,0.12425,10.5,11.5,12.199999999999999,12.5,13.1,13.5,14.1,15.300000000000001,16.699999999999999,17.5,18,18.899999999999999,19.399999999999999,20.600000000000001,22.699999999999999
43,-0.095699999999999993,15.5158,0.12478,10.6,11.699999999999999,12.300000000000001,12.699999999999999,13.199999999999999,13.6,14.300000000000001,15.5,16.899999999999999,17.699999999999999,18.199999999999999,19.100000000000001,19.699999999999999,20.800000000000001,23
44,-0.099299999999999999,15.6828,0.12531,10.699999999999999,11.800000000000001,12.4,12.800000000000001,13.4,13.800000000000001,14.4,15.699999999999999,17.100000000000001,17.899999999999999,18.399999999999999,19.300000000000001,19.899999999999999,21.100000000000001,23.300000000000001
45,-0.1028,15.8497,0.12586,10.800000000000001,11.9,12.5,12.9,13.5,13.9,14.6,15.800000000000001,17.300000000000001,18.100000000000001,18.600000000000001,19.5,20.100000000000001,21.300000000000001,23.600000000000001
46,-0.10630000000000001,16.016300000000001,0.12642999999999999,10.9,12,12.699999999999999,13,13.6,14.1,14.699999999999999,16,17.399999999999999,18.300000000000001,18.899999999999999,19.800000000000001,20.399999999999999,21.600000000000001,23.899999999999999
47,-0.10970000000000001,16.182700000000001,0.127,11,12.1,12.800000000000001,13.199999999999999,13.800000000000001,14.199999999999999,14.9,16.199999999999999,17.600000000000001,18.5,19.100000000000001,20,20.600000000000001,21.899999999999999,24.199999999999999
