Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.34870000000000001,3.3464,0.14602000000000001,2,2.2999999999999998,2.5,2.6000000000000001,2.7999999999999998,2.8999999999999999,3,3.2999999999999998,3.7000000000000002,3.8999999999999999,4,4.2000000000000002,4.2999999999999998,4.5999999999999996,5.0999999999999996
1,0.22969999999999999,4.4709000000000003,0.13395000000000001,2.8999999999999999,3.2000000000000002,3.3999999999999999,3.6000000000000001,3.7999999999999998,3.8999999999999999,4.0999999999999996,4.5,4.9000000000000004,5.0999999999999996,5.2999999999999998,5.5,5.7000000000000002,6,6.5999999999999996
2,0.19700000000000001,5.5674999999999999,0.12385,3.7000000000000002,4.0999999999999996,4.4000000000000004,4.5,4.7000000000000002,4.9000000000000004,5.0999999999999996,5.5999999999999996,6,6.2999999999999998,6.5,6.7999999999999998,7,7.4000000000000004,8.0999999999999996
3,0.17380000000000001,6.3761999999999999,0.11727,4.4000000000000004,4.7999999999999998,5.0999999999999996,5.2000000000000002,5.5,5.5999999999999996,5.9000000000000004,6.4000000000000004,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7000000000000002,7.9000000000000004,8.3000000000000007,9.0999999999999996
4,0.15529999999999999,7.0023,0.11316,4.9000000000000004,5.4000000000000004,5.5999999999999996,5.7999999999999998,6,6.2000000000000002,6.5,7,7.5999999999999996,7.9000000000000004,8.0999999999999996,8.4000000000000004,8.5999999999999996,9.0999999999999996,9.8000000000000007
5,0.13950000000000001,7.5105000000000004,0.1108,5.2999999999999998,5.7999999999999998,6.0999999999999996,6.2000000000000002,6.5,6.7000000000000002,7,7.5,8.0999999999999996,8.4000000000000004,8.5999999999999996,9,9.1999999999999993,9.6999999999999993,10.5
6,0.12570000000000001,7.9340000000000002,0.10958,5.5999999999999996,6.0999999999999996,6.4000000000000004,6.5999999999999996,6.9000000000000004,7.0999999999999996,7.4000000000000004,7.9000000000000004,8.5,8.9000000000000004,9.0999999999999996,9.5,9.6999999999999993,10.199999999999999,11.1
7,0.1134,8.2970000000000006,0.10902000000000001,5.9000000000000004,6.4000000000000004,6.7000000000000002,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7000000000000002,8.3000000000000007,8.9000000000000004,9.3000000000000007,9.5,9.9000000000000004,10.199999999999999,10.699999999999999,11.5
8,0.1021,8.6151,0.10882,6.0999999999999996,6.7000000000000002,7,7.2000000000000002,7.5,7.7000000000000002,8,8.5999999999999996,9.3000000000000007,9.5999999999999996,9.9000000000000004,10.300000000000001,10.5,11.1,12
9,0.091700000000000004,8.9014000000000006,0.10881,6.2999999999999998,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7000000000000002,7.9000000000000004,8.3000000000000007,8.9000000000000004,9.5999999999999996,10,10.199999999999999,10.6,10.9,11.4,12.4
10,0.082000000000000003,9.1648999999999994,0.10891000000000001,6.5,7.0999999999999996,7.5,7.7000000000000002,8,8.1999999999999993,8.5,9.1999999999999993,9.9000000000000004,10.300000000000001,10.5,10.9,11.199999999999999,11.800000000000001,12.800000000000001
11,0.072999999999999995,9.4122000000000003,0.10906,6.7000000000000002,7.2999999999999998,7.7000000000000002,7.9000000000000004,8.1999999999999993,8.4000000000000004,8.6999999999999993,9.4000000000000004,10.1,10.5,10.800000000000001,11.199999999999999,11.5,12.1,13.1
12,0.064399999999999999,9.6478999999999999,0.10925,6.9000000000000004,7.5,7.7999999999999998,8.0999999999999996,8.4000000000000004,8.5999999999999996,9,9.5999999999999996,10.4,10.800000000000001,11.1,11.5,11.800000000000001,12.4,13.5
13,0.056300000000000003,9.8749000000000002,0.10949,7,7.5999999999999996,8,8.1999999999999993,8.5999999999999996,8.8000000000000007,9.1999999999999993,9.9000000000000004,10.6,11.1,11.4,11.800000000000001,12.1,12.699999999999999,13.800000000000001
14,0.0487,10.0953,0.10976,7.2000000000000002,7.7999999999999998,8.1999999999999993,8.4000000000000004,8.8000000000000007,9,9.4000000000000004,10.1,10.9,11.300000000000001,11.6,12.1,12.4,13,14.1
15,0.041300000000000003,10.3108,0.11007,7.2999999999999998,8,8.4000000000000004,8.5999999999999996,9,9.1999999999999993,9.5999999999999996,10.300000000000001,11.1,11.6,11.9,12.300000000000001,12.699999999999999,13.300000000000001,14.5
16,0.034299999999999997,10.5228,0.11040999999999999,7.5,8.0999999999999996,8.5,8.8000000000000007,9.0999999999999996,9.4000000000000004,9.8000000000000007,10.5,11.300000000000001,11.800000000000001,12.1,12.6,12.9,13.6,14.800000000000001
17,0.0275,10.7319,0.11079,7.5999999999999996,8.3000000000000007,8.6999999999999993,8.9000000000000004,9.3000000000000007,9.5999999999999996,10,10.699999999999999,11.6,12,12.4,12.9,13.199999999999999,13.9,15.1
18,0.021100000000000001,10.938499999999999,0.11119,7.7000000000000002,8.4000000000000004,8.9000000000000004,9.0999999999999996,9.5,9.6999999999999993,10.1,10.9,11.800000000000001,12.300000000000001,12.6,13.1,13.5,14.199999999999999,15.4
19,0.014800000000000001,11.143000000000001,0.11164,7.9000000000000004,8.5999999999999996,9,9.3000000000000007,9.6999999999999993,9.9000000000000004,10.300000000000001,11.1,12,12.5,12.9,13.4,13.699999999999999,14.4,15.699999999999999
20,0.0086999999999999994,11.3462,0.11211,8,8.6999999999999993,9.1999999999999993,9.4000000000000004,9.8000000000000007,10.1,10.5,11.300000000000001,12.199999999999999,12.699999999999999,13.1,13.6,14,14.699999999999999,16
21,0.0028999999999999998,11.5486,0.11261,8.1999999999999993,8.9000000000000004,9.3000000000000007,9.5999999999999996,10,10.300000000000001,10.699999999999999,11.5,12.5,13,13.300000000000001,13.9,14.300000000000001,15,16.399999999999999
22,-0.0028,11.750400000000001,0.11314,8.3000000000000007,9,9.5,9.8000000000000007,10.199999999999999,10.5,10.9,11.800000000000001,12.699999999999999,13.199999999999999,13.6,14.199999999999999,14.5,15.300000000000001,16.699999999999999
23,-0.0083000000000000001,11.9514,0.11369,8.4000000000000004,9.1999999999999993,9.6999999999999993,9.9000000000000004,10.300000000000001,10.6,11.1,12,12.9,13.4,13.800000000000001,14.4,14.800000000000001,15.6,17
24,-0.0137,12.1515,0.11426,8.5,9.3000000000000007,9.8000000000000007,10.1,10.5,10.800000000000001,11.300000000000001,12.199999999999999,13.1,13.699999999999999,14.1,14.699999999999999,15.1,15.9,17.300000000000001
25,-0.0189,12.350199999999999,0.11484999999999999,8.6999999999999993,9.5,10,10.199999999999999,10.699999999999999,11,11.4,12.4,13.300000000000001,13.9,14.300000000000001,14.9,15.300000000000001,16.100000000000001,17.600000000000001
26,-0.024,12.5466,0.11544,8.8000000000000007,9.5999999999999996,10.1,10.4,10.800000000000001,11.1,11.6,12.5,13.6,14.1,14.6,15.199999999999999,15.6,16.399999999999999,18
27,-0.028899999999999999,12.7401,0.11604,8.9000000000000004,9.6999999999999993,10.199999999999999,10.5,11,11.300000000000001,11.800000000000001,12.699999999999999,13.800000000000001,14.4,14.800000000000001,15.4,15.9,16.699999999999999,18.300000000000001
28,-0.033700000000000001,12.930300000000001,0.11663999999999999,9,9.9000000000000004,10.4,10.699999999999999,11.1,11.5,12,12.9,14,14.6,15,15.699999999999999,16.100000000000001,17,18.600000000000001
29,-0.0385,13.116899999999999,0.11723,9.1999999999999993,10,10.5,10.800000000000001,11.300000000000001,11.6,12.1,13.1,14.199999999999999,14.800000000000001,15.199999999999999,15.9,16.399999999999999,17.300000000000001,18.899999999999999
30,-0.043099999999999999,13.300000000000001,0.11781,9.3000000000000007,10.1,10.699999999999999,11,11.4,11.800000000000001,12.300000000000001,13.300000000000001,14.4,15,15.5,16.199999999999999,16.600000000000001,17.5,19.199999999999999
31,-0.047600000000000003,13.479799999999999,0.11839,9.4000000000000004,10.300000000000001,10.800000000000001,11.1,11.6,11.9,12.4,13.5,14.6,15.199999999999999,15.699999999999999,16.399999999999999,16.899999999999999,17.800000000000001,19.5
32,-0.051999999999999998,13.656700000000001,0.11896,9.5,10.4,10.9,11.199999999999999,11.699999999999999,12.1,12.6,13.699999999999999,14.800000000000001,15.5,15.9,16.600000000000001,17.100000000000001,18,19.800000000000001
33,-0.056399999999999999,13.8309,0.11953,9.5999999999999996,10.5,11.1,11.4,11.9,12.199999999999999,12.800000000000001,13.800000000000001,15,15.699999999999999,16.100000000000001,16.899999999999999,17.300000000000001,18.300000000000001,20.100000000000001
34,-0.060600000000000001,14.0031,0.12008000000000001,9.6999999999999993,10.6,11.199999999999999,11.5,12,12.4,12.9,14,15.199999999999999,15.9,16.300000000000001,17.100000000000001,17.600000000000001,18.600000000000001,20.399999999999999
35,-0.064799999999999996,14.1736,0.12062,9.8000000000000007,10.699999999999999,11.300000000000001,11.6,12.199999999999999,12.5,13.1,14.199999999999999,15.4,16.100000000000001,16.600000000000001,17.300000000000001,17.800000000000001,18.800000000000001,20.699999999999999
36,-0.068900000000000003,14.3429,0.12116,9.9000000000000004,10.800000000000001,11.4,11.800000000000001,12.300000000000001,12.699999999999999,13.199999999999999,14.300000000000001,15.6,16.300000000000001,16.800000000000001,17.5,18,19.100000000000001,21
