Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
23,-0.2903,11.268800000000001,0.12368999999999999,7.7999999999999998,8.5,9,9.1999999999999993,9.6999999999999993,9.9000000000000004,10.4,11.300000000000001,12.300000000000001,12.800000000000001,13.300000000000001,13.9,14.300000000000001,15.199999999999999,16.899999999999999
24,-0.29409999999999997,11.477499999999999,0.1239,8,8.6999999999999993,9.1999999999999993,9.4000000000000004,9.8000000000000007,10.1,10.6,11.5,12.5,13.1,13.5,14.199999999999999,14.6,15.5,17.199999999999999
25,-0.29749999999999999,11.686400000000001,0.12414,8.0999999999999996,8.9000000000000004,9.3000000000000007,9.5999999999999996,10,10.300000000000001,10.800000000000001,11.699999999999999,12.699999999999999,13.300000000000001,13.800000000000001,14.4,14.9,15.800000000000001,17.600000000000001
26,-0.30049999999999999,11.8947,0.12441000000000001,8.3000000000000007,9,9.5,9.8000000000000007,10.199999999999999,10.5,10.9,11.9,12.9,13.6,14,14.699999999999999,15.199999999999999,16.100000000000001,17.899999999999999
27,-0.30320000000000003,12.1015,0.12472,8.4000000000000004,9.1999999999999993,9.5999999999999996,9.9000000000000004,10.4,10.699999999999999,11.1,12.1,13.199999999999999,13.800000000000001,14.300000000000001,15,15.4,16.399999999999999,18.199999999999999
28,-0.30570000000000003,12.305899999999999,0.12506,8.5,9.3000000000000007,9.8000000000000007,10.1,10.5,10.800000000000001,11.300000000000001,12.300000000000001,13.4,14,14.5,15.199999999999999,15.699999999999999,16.699999999999999,18.600000000000001
29,-0.308,12.507300000000001,0.12545000000000001,8.6999999999999993,9.5,10,10.199999999999999,10.699999999999999,11,11.5,12.5,13.6,14.300000000000001,14.699999999999999,15.5,16,17,18.899999999999999
30,-0.31009999999999999,12.705500000000001,0.12587000000000001,8.8000000000000007,9.5999999999999996,10.1,10.4,10.9,11.199999999999999,11.699999999999999,12.699999999999999,13.800000000000001,14.5,15,15.699999999999999,16.199999999999999,17.300000000000001,19.199999999999999
31,-0.312,12.900600000000001,0.12633,8.9000000000000004,9.6999999999999993,10.300000000000001,10.5,11,11.300000000000001,11.9,12.9,14.1,14.699999999999999,15.199999999999999,16,16.5,17.600000000000001,19.600000000000001
32,-0.31380000000000002,13.093,0.12683,9,9.9000000000000004,10.4,10.699999999999999,11.199999999999999,11.5,12,13.1,14.300000000000001,15,15.5,16.199999999999999,16.800000000000001,17.800000000000001,19.899999999999999
33,-0.3155,13.2837,0.12737000000000001,9.1999999999999993,10,10.5,10.800000000000001,11.300000000000001,11.699999999999999,12.199999999999999,13.300000000000001,14.5,15.199999999999999,15.699999999999999,16.5,17,18.100000000000001,20.199999999999999
